"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",632067,633126,1060,"*","Distal Intergenic",1,621096,622034,939,2,"729759","uc010nxv.2",-10033,"ENSG00000284733","OR4F29","olfactory receptor family 4 subfamily F member 29"
"chr1",2019034,2019989,956,"*","Intron (uc001aiq.3/5590, intron 4 of 17)",1,2005425,2116834,111410,1,"5590","uc010nyw.2",13609,"ENSG00000067606","PRKCZ","protein kinase C zeta"
"chr1",2451713,2452859,1147,"*","Exon (uc001ajm.1/55229, exon 3 of 19)",1,2439975,2458035,18061,2,"55229","uc001ajm.1",5176,"ENSG00000157881","PANK4","pantothenate kinase 4 (inactive)"
"chr1",3523438,3523939,502,"*","Intron (uc001akl.3/1953, intron 1 of 36)",1,3404506,3528059,123554,2,"1953","uc001akl.3",4120,"ENSG00000162591","MEGF6","multiple EGF like domains 6"
"chr1",3890566,3891596,1031,"*","Distal Intergenic",1,3816968,3833879,16912,1,"100133612","uc001alh.4",73598,"ENSG00000236423","LINC01134","long intergenic non-protein coding RNA 1134"
"chr1",6014489,6015443,955,"*","Intron (uc001alq.2/261734, intron 6 of 29)",1,6052358,6161253,108896,1,"8514","uc009vlv.2",-36915,"ENSG00000069424","KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"chr1",8096535,8097901,1367,"*","Distal Intergenic",1,8071779,8086393,14615,2,"54206","uc001aoz.3",-10142,"ENSG00000116285","ERRFI1","ERBB receptor feedback inhibitor 1"
"chr1",8625361,8625971,611,"*","Intron (uc001ape.3/473, intron 5 of 23)",1,8420172,8585844,165673,2,"473","uc010nzx.1",-39517,"ENSG00000142599","RERE","arginine-glutamic acid dipeptide repeats"
"chr1",8956397,8957318,922,"*","Distal Intergenic",1,8931006,8939151,8146,2,"2023","uc009vmm.3",-17246,"ENSG00000074800","ENO1","enolase 1"
"chr1",11985704,11986500,797,"*","Promoter (<=1kb)",1,11979645,11986485,6841,2,"90231","uc001atk.3",0,"ENSG00000116685","KIAA2013","KIAA2013"
"chr1",16122720,16123455,736,"*","Distal Intergenic",1,16133657,16134194,538,2,"440567","uc009vol.1",10739,"ENSG00000233954","UQCRHL","ubiquinol-cytochrome c reductase hinge protein like"
"chr1",23118747,23119849,1103,"*","Intron (uc009vqj.1/2048, intron 3 of 16)",1,23189652,23189719,68,2,"100422914","uc021oic.1",69870,"ENSG00000264014","MIR4253","microRNA 4253"
"chr1",27015084,27015642,559,"*","Distal Intergenic",1,27022522,27102198,79677,1,"8289","uc001bmt.1",-6880,"ENSG00000117713","ARID1A","AT-rich interaction domain 1A"
"chr1",28153053,28153554,502,"*","Distal Intergenic",1,28157252,28178183,20932,1,"5511","uc001bov.2",-3698,"ENSG00000117751","PPP1R8","protein phosphatase 1 regulatory subunit 8"
"chr1",32933221,32934246,1026,"*","Promoter (2-3kb)",1,32930658,32953459,22802,1,"728116","uc001bvl.4",2563,"ENSG00000273274","ZBTB8B","zinc finger and BTB domain containing 8B"
"chr1",32939430,32940129,700,"*","Intron (uc001bvl.4/728116, intron 2 of 3)",1,32930658,32953459,22802,1,"728116","uc001bvl.4",8772,"ENSG00000273274","ZBTB8B","zinc finger and BTB domain containing 8B"
"chr1",33058035,33058840,806,"*","5' UTR",1,33004772,33071542,66771,1,"653121","uc001bvn.3",53263,"ENSG00000160062","ZBTB8A","zinc finger and BTB domain containing 8A"
"chr1",33218598,33219273,676,"*","Promoter (<=1kb)",1,33219687,33240571,20885,1,"57648","uc010ohm.1",-414,"ENSG00000162522","NHSL3","NHS like 3"
"chr1",33273293,33273961,669,"*","Intron (uc001bvy.1/8565, intron 3 of 12)",1,33283043,33324480,41438,1,"64766","uc001bvz.4",-9082,"ENSG00000116497","S100PBP","S100P binding protein"
"chr1",33470304,33471085,782,"*","Intron (uc001bwn.3/uc001bwn.3, intron 1 of 1)",1,33473541,33502512,28972,2,"204","uc001bwo.2",31427,"ENSG00000004455","AK2","adenylate kinase 2"
"chr1",36051651,36052343,693,"*","Intron (uc010ohy.2/339488, intron 3 of 6)",1,36038971,36060927,21957,1,"339488","uc010ohy.2",12680,"ENSG00000116819","TFAP2E","transcription factor AP-2 epsilon"
"chr1",42172797,42173868,1072,"*","Intron (uc001cgz.4/59269, intron 1 of 8)",1,41972036,42050989,78954,2,"59269","uc001cgy.3",-121808,"ENSG00000127124","HIVEP3","HIVEP zinc finger 3"
"chr1",43858331,43859036,706,"*","Promoter (2-3kb)",1,43855556,43919918,64363,1,"23334","uc001cjk.3",2775,"ENSG00000198198","SZT2","SZT2 subunit of KICSTOR complex"
"chr1",45542495,45543085,591,"*","Intron (uc001cnd.2/57643, intron 2 of 13)",1,45478481,45480508,2028,1,"7389","uc010olj.1",64014,"ENSG00000126088","UROD","uroporphyrinogen decarboxylase"
"chr1",53766256,53767333,1078,"*","Intron (uc001cvh.2/7804, intron 2 of 15)",1,53708041,53793071,85031,2,"7804","uc001cvh.2",25738,"ENSG00000157193","LRP8","LDL receptor related protein 8"
"chr1",55138579,55139349,771,"*","Exon (uc010ooc.1/374977, exon 6 of 15)",1,55148329,55175939,27611,1,"374977","uc009vzr.1",-8980,"ENSG00000184313","MROH7","maestro heat like repeat family member 7"
"chr1",55473995,55474686,692,"*","3' UTR",1,55464617,55474465,9849,1,"7809","uc001cye.3",9378,"ENSG00000162399","BSND","barttin CLCNK type accessory subunit beta"
"chr1",56441492,56442141,650,"*","Distal Intergenic",1,56960419,57045257,84839,2,"8613","uc001cyj.2",603116,"ENSG00000162407","PLPP3","phospholipid phosphatase 3"
"chr1",56774015,56774747,733,"*","Distal Intergenic",1,56960419,57045257,84839,2,"8613","uc001cyj.2",270510,"ENSG00000162407","PLPP3","phospholipid phosphatase 3"
"chr1",61098641,61099215,575,"*","Distal Intergenic",1,61542946,61928460,385515,1,"4774","uc001czy.3",-443731,"ENSG00000162599","NFIA","nuclear factor I A"
"chr1",62796128,62796777,650,"*","Distal Intergenic",1,62701837,62785083,83247,2,"163782","uc001dai.4",-11045,"ENSG00000132854","KANK4","KN motif and ankyrin repeat domains 4"
"chr1",63890984,63891552,569,"*","Intron (uc021oof.1/29929, intron 12 of 14)",1,63876817,63904233,27417,1,"29929","uc010oox.2",14167,"ENSG00000088035","ALG6","ALG6 alpha-1,3-glucosyltransferase"
"chr1",67213009,67213673,665,"*","Distal Intergenic",1,67218140,67244730,26591,1,"200132","uc001dcv.3",-4467,"ENSG00000152760","DYNLT5","dynein light chain Tctex-type family member 5"
"chr1",68337860,68338704,845,"*","Intron (uc001deb.2/100289178, intron 1 of 9)",1,68167149,68299155,132007,2,"55970","uc001dea.2",-38705,"ENSG00000172380","GNG12","G protein subunit gamma 12"
"chr1",77482532,77483475,944,"*","Intron (uc001dhi.3/81849, intron 2 of 4)",1,77334182,77529737,195556,1,"81849","uc009wbw.3",148350,"ENSG00000117069","ST6GALNAC5","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"
"chr1",78153289,78154336,1048,"*","Distal Intergenic",1,78030190,78149104,118915,2,"26009","uc001dhr.3",-4185,"ENSG00000036549","ZZZ3","zinc finger ZZ-type containing 3"
"chr1",81175240,81175741,502,"*","Distal Intergenic",1,81771845,82458107,686263,1,"23266","uc001dis.3",-596104,"ENSG00000117114","ADGRL2","adhesion G protein-coupled receptor L2"
"chr1",83905100,83905797,698,"*","Distal Intergenic",1,84259598,84379059,119462,2,"100847084","uc031pmy.1",473262,"ENSG00000264406","MIR548AP","microRNA 548ap"
"chr1",84425115,84426103,989,"*","Intron (uc001djc.3/79739, intron 1 of 20)",1,84335057,84418070,83014,2,"79739","uc001djb.3",-7045,"ENSG00000137941","TTLL7","tubulin tyrosine ligase like 7"
"chr1",85195517,85196018,502,"*","Distal Intergenic",1,85121148,85156440,35293,2,"117178","uc001dkk.1",-39077,"ENSG00000117155","SSX2IP","SSX family member 2 interacting protein"
"chr1",87119654,87120155,502,"*","Exon (uc010osh.2/9629, exon 15 of 15)",1,87099959,87121059,21101,1,"9629","uc010osh.2",19695,"ENSG00000291014","CLCA3P","chloride channel accessory 3, pseudogene"
"chr1",92728604,92729316,713,"*","Exon (uc001dor.3/11146, exon 15 of 19)",1,92764522,92853732,89211,1,"79871","uc001dot.2",-35206,"ENSG00000122484","RPAP2","RNA polymerase II associated protein 2"
